CountryName,CountryCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,ConfirmedCases,ConfirmedDeaths,HealthIndexChange,ContainmentHealthIndex,Cases after 1 week,Cases after 2 weeks,Cases after 3 weeks,Cases after 4 weeks
Italy,ITA,20200319,3.00,3.00,2.00,4.00,1.00,2.00,2.00,3.00,2.00,2.00,2.00,35713,2978,0,84.85,,,,
Italy,ITA,20200320,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,41035,3407,1,90.15,1,1,1,1
Italy,ITA,20200321,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,47021,4032,0,90.15,,,,
Italy,ITA,20200322,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,53578,4827,0,90.15,,,,
Italy,ITA,20200323,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,59138,5476,0,90.15,,,,
Italy,ITA,20200324,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,63927,6077,0,90.15,,,,
Italy,ITA,20200325,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,69176,6820,0,90.15,,,,
Italy,ITA,20200326,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,74386,7505,0,90.15,,,,
Italy,ITA,20200327,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,80539,8165,0,90.15,,,,
Italy,ITA,20200328,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,86498,9136,0,90.15,,,,
Italy,ITA,20200329,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,92472,10023,0,90.15,,,,
Italy,ITA,20200330,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,97689,10781,0,90.15,,,,
Italy,ITA,20200331,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,101739,11591,0,90.15,,,,
Italy,ITA,20200401,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,105792,12430,0,90.15,,,,
Italy,ITA,20200402,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,110574,13157,0,90.15,,,,
Italy,ITA,20200403,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,115242,13917,0,90.15,,,,
Italy,ITA,20200404,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,119827,14681,0,90.15,,,,
Italy,ITA,20200405,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,124632,15362,0,90.15,,,,
Italy,ITA,20200406,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,128948,15889,0,90.15,,,,
Italy,ITA,20200407,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,132547,16525,0,90.15,,,,
Italy,ITA,20200408,3.00,3.00,2.00,4.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,135586,17129,0,90.15,,,,
